product_id,name,category,subcategory,price,brand,avg_rating,n_reviews,in_stock,description,price_normalized,category_encoded
18,Synergistic multimedia superstructure,Sports,Sports_1,95.61,Castillo PLC,3.8,4184,0,Recently if pattern treat second research reflect see each school week statement they month participant.,0.1825311581720539,8
19,Robust local concept,Toys,Toys_5,73.24,"Conrad, Gallagher and Mckee",2.5,1521,0,Avoid style message weight institution here health both trial.,0.13719728442598034,9
20,Fully-configurable needs-based throughput,Grocery,Grocery_2,279.68,Roberts Group,3.0,1149,1,Enter able piece hour type upon where middle throw very throughout.,0.5555578072753066,5
21,Pre-emptive analyzing help-desk,Beauty,Beauty_4,311.61,Gilbert LLC,4.5,78,0,Government accept three control great big man be method child buy.,0.6202654777586382,1
22,Pre-emptive 24hour collaboration,Books,Books_2,408.53,"Wright, Ruiz and Brooks",4.9,4140,0,Into consider speech board just style class government its grow that cup.,0.8166784881953592,2
23,Ergonomic executive analyzer,Toys,Toys_4,210.74,Foster Ltd,4.4,4003,1,Too civil current look professor entire inside nearly son research foot share.,0.41584760360725503,9
24,Open-architected motivating success,Clothing,Clothing_5,20.28,"Cameron, Price and Rodriguez",4.0,2392,1,Society call general add range appear stop involve.,0.029871314216232646,3
25,Right-sized user-facing access,Sports,Sports_2,271.12,Castillo-Campbell,1.7,3746,0,Set easy check memory economic short ten yes.,0.5382105583139123,8
26,Fully-configurable static interface,Grocery,Grocery_5,61.04,Wells Inc,1.5,4449,1,Particularly country talk pick chance build husband event court certainly adult current ten herself.,0.11247340156044178,5
27,Progressive fault-tolerant standardization,Grocery,Grocery_1,381.2,"Baird, Walker and Simmons",2.8,1790,0,Member popular fight especially exactly go individual floor.,0.7612929374810011,5
28,Business-focused contextually-based analyzer,Clothing,Clothing_2,152.37,Williams Ltd,5.0,3684,1,Deep line training beyond continue way hair fight best add necessary technology.,0.29755800993008413,3
29,Managed high-level support,Beauty,Beauty_1,222.34,Paul-Chapman,5.0,1941,1,He practice decide himself thought candidate sea build only treatment pressure couple relate understand avoid national.,0.4393555578072753,1
30,Mandatory exuding success,Health,Health_3,431.22,Mayo-Harris,3.4,3507,1,Analysis court nearly education theory table trade window thus.,0.8626608572297092,6
31,Organized responsive structure,Health,Health_2,393.5,Bartlett Inc,4.3,486,1,Industry use mean against out recent can animal not some really scientist however range.,0.786219475124126,6
32,Profound asynchronous concept,Grocery,Grocery_3,300.44,Christensen-Cruz,1.7,2397,1,Husband even contain civil design recent these so lay remain modern field detail.,0.5976289391022394,5
33,Triple-buffered encompassing neural-net,Health,Health_3,476.44,Jackson Inc,3.1,780,1,Draw although challenge third until establish so politics eat statement movement ability girl painting hard.,0.9543013476542709,6
34,Configurable tertiary neural-net,Toys,Toys_1,496.28,Bowen-Ortiz,4.5,1039,1,Far world personal action green room evidence eight administration price test voice on reveal read watch.,0.994508055527409,9
35,Function-based responsive productivity,Home & Kitchen,Home & Kitchen_2,357.14,"Pierce, Montoya and Walker",4.3,3217,0,Daughter picture teach house land role its chance look many least.,0.7125341979937176,7
36,Enhanced content-based open system,Books,Books_5,318.04,Harding-White,3.5,3073,0,Again clear concern hour part attorney author early training wife beyond.,0.6332961799574426,2
37,Progressive client-driven superstructure,Clothing,Clothing_1,204.41,Morrison Group,4.0,3023,0,Again step shake popular analysis eat base central physical add whom whatever blood.,0.4030195561860371,3
38,User-centric global strategy,Automotive,Automotive_3,293.07,Harris Group,4.5,763,0,Throughout spring film look during myself environment myself again and name bill though indeed ability.,0.582693281994123,0
39,Face-to-face 4thgeneration emulation,Beauty,Beauty_1,398.86,Cruz-Gomez,2.6,3519,1,Difficult these his this state both college body big what ground.,0.7970817712027561,1
40,Seamless full-range capability,Automotive,Automotive_3,164.82,Mclean-Gillespie,2.1,4483,1,Page concern most outside quickly change project.,0.3227885297395886,0
41,Innovative regional forecast,Health,Health_4,395.21,Hutchinson-Nelson,4.6,396,1,Product usually specific represent baby able value chance pretty floor hospital return size long.,0.7896848718208531,6
42,Cloned bifurcated orchestration,Clothing,Clothing_4,13.06,Moyer-Ramirez,4.7,1294,0,Follow camera should good management loss win own.,0.015239639274495896,3
43,Sharable full-range challenge,Automotive,Automotive_1,495.96,"Dorsey, Reyes and Dunn",2.7,1080,1,Move mouth start his ok instead official really security reflect dog able yes admit next.,0.9938595602391326,0
44,Devolved bifurcated approach,Books,Books_3,51.2,Ward-Atkinson,2.4,675,1,Far century table will tree drug still argue case.,0.09253217144594184,2
45,Total tertiary circuit,Books,Books_1,201.19,Quinn-Horton,2.2,1918,0,He reduce production available study that air half bad baby notice sport change.,0.3964940723477556,2
46,Enterprise-wide methodical synergy,Clothing,Clothing_1,5.54,Adkins Ltd,2.9,1087,1,Like reveal know population actually born art politics page community civil.,0.0,3
47,Object-based interactive software,Grocery,Grocery_4,9.6,Spencer-Gallegos,3.8,987,0,Maybe remember interest church win miss within by deep people despite contain second nice success.,0.008227783970007093,5
48,Team-oriented maximized matrices,Books,Books_4,40.06,Delgado-Sullivan,2.5,839,1,Close sound position crime board back owner suggest agreement executive must assume.,0.06995642922281893,2
49,Right-sized 24/7 system engine,Beauty,Beauty_3,441.09,Lopez-Harris,1.5,1090,1,Drive be now and worry low answer.,0.882662883777485,1
50,Cross-group fault-tolerant access,Clothing,Clothing_5,283.83,Walton-Benjamin,3.4,1344,0,Crime sell rise wind reflect best imagine scientist big space change onto him only.,0.5639679805451413,3
51,Automated explicit complexity,Beauty,Beauty_2,315.9,Fleming Inc,1.6,3372,0,Behavior responsibility this space pressure shoulder claim white might rock prepare us game size fund growth.,0.6289593677170939,1
52,Optional 6thgeneration structure,Home & Kitchen,Home & Kitchen_1,448.81,"Hughes, Clark and Bishop",1.6,1008,0,When note yes best address short finally test.,0.8983078326071537,7
53,Cross-group modular attitude,Beauty,Beauty_4,160.68,Edwards-Villa,1.6,2268,1,Attention office government author represent leave worry without shake.,0.31439862194751245,1
54,Organic solution-oriented challenge,Home & Kitchen,Home & Kitchen_5,302.49,Bonilla Group,3.9,2334,1,Guy expert important people quite kid mention.,0.6017833620427602,7
55,Secured foreground hub,Sports,Sports_2,261.29,Fleming PLC,3.0,3209,1,Enjoy then radio per popular scientist each start account table fact citizen human authority.,0.518289593677171,8
56,Networked maximized secured line,Electronics,Electronics_2,249.97,Bailey Group,1.5,4092,1,Too let beat rule true two should current forget fish you main reduce live everything.,0.49534907285439256,4
57,Automated needs-based collaboration,Grocery,Grocery_1,493.51,Thomas-Lewis,4.7,1081,0,All over herself view gun involve list approach test well raise establish player base attorney.,0.9888945181882663,5
58,Open-architected attitude-oriented framework,Health,Health_4,185.88,"Hayes, Barnes and Lewis",3.7,3858,1,Contain approach time investment white father cup walk loss movement six.,0.36546762589928056,6
59,Total intermediate help-desk,Electronics,Electronics_5,38.43,"Hudson, Morrow and Hoffman",2.0,326,1,Cup reveal official certain professional statement same stay run add to value material first society purpose.,0.06665315634816091,4
60,Fundamental multi-state success,Toys,Toys_5,146.81,Mcneil and Sons,3.9,3403,0,Police official already second could recent similar over democratic decide course quickly western have.,0.2862904042962813,9
61,Multi-lateral 3rdgeneration framework,Toys,Toys_1,322.07,Shaw-Parrish,3.2,1250,1,Power lay improve goal my mission share box compare into computer organization myself high.,0.6414631674941736,9
62,Switchable system-worthy software,Clothing,Clothing_3,44.12,Walters-Park,4.7,1272,1,Yet south billion power pattern in market seem.,0.07818421319282601,3
63,Quality-focused bandwidth-monitored productivity,Toys,Toys_5,318.98,Gordon-Shaffer,4.3,541,1,System deep since necessary boy task wear go soldier less traditional.,0.6352011348667546,9
64,Stand-alone tertiary toolset,Toys,Toys_2,33.66,"Foster, Ayers and Casey",1.3,3559,1,Exist they enough stuff somebody increase drop too increase administration check hear stage star.,0.056986523457290494,9
65,Right-sized foreground groupware,Automotive,Automotive_5,306.37,Haley Group,2.2,1438,1,New hot pattern hotel appear use investment vote hospital road.,0.6096463674131117,0
66,Open-architected foreground model,Electronics,Electronics_2,352.24,Kim Inc,1.7,2840,1,Mean place six successful physical employee need we data.,0.702604113891985,4
67,Cross-group 4thgeneration Internet solution,Books,Books_3,67.83,Fuller PLC,4.1,2201,1,Agreement remain turn bad him score candidate law place.,0.1262336609585571,2
68,Multi-channeled contextually-based encoding,Electronics,Electronics_3,404.52,"Hurst, Phillips and Nichols",2.1,523,1,Risk southern her employee appear bar century age world term.,0.8085520316141452,4
69,Customizable logistical policy,Health,Health_1,250.59,Rodriguez LLC,3.0,454,0,Thus behavior management guess stuff hospital make against available where baby.,0.49660553247542816,6
70,Synergized intangible implementation,Health,Health_2,187.01,Schultz-Hayes,2.0,842,1,Conference act condition note parent all wish year low.,0.36775762488600666,6
71,Seamless radical moratorium,Home & Kitchen,Home & Kitchen_5,6.27,Moore Ltd,4.4,100,1,Unit cover ahead age memory charge term boy describe foreign detail.,0.0014793798763805838,7
72,Upgradable system-worthy capacity,Electronics,Electronics_4,185.17,Hill-Gonzalez,4.7,1466,1,Give necessary family seat many mention hundred cover.,0.36402877697841723,4
73,Enhanced dedicated software,Grocery,Grocery_4,116.14,"Campbell, Long and Silva",2.0,2620,1,Find some west maintain third interest section staff performance parent investment note hear plan ask cold.,0.22413618401053806,5
74,Automated multimedia extranet,Clothing,Clothing_5,189.54,"Ortiz, Munoz and Wiley",3.0,431,1,Good air conference follow so group authority prevent head single business five action forget let.,0.3728847907589421,3
75,Inverse discrete open architecture,Home & Kitchen,Home & Kitchen_5,490.8,Cruz PLC,4.8,564,0,Money bill everyone part third teacher avoid throughout instead series.,0.9834025737156754,7
76,Intuitive foreground customer loyalty,Sports,Sports_3,167.01,Williams Group,3.2,65,1,Another ever budget laugh over option door again adult situation office above left capital.,0.32722666936873035,8
77,Open-architected 5thgeneration monitoring,Home & Kitchen,Home & Kitchen_3,284.08,"Williams, Newman and Jones",2.2,1987,0,Stop indeed feeling first generation bag simple management.,0.5644746174891073,7
78,Business-focused hybrid framework,Beauty,Beauty_5,486.07,"Riggs, Snyder and Davidson",5.0,1600,1,Successful visit bill difference stay catch year technology right.,0.9738170027358395,1
79,Face-to-face composite array,Books,Books_1,466.54,Ramsey LLC,1.1,4436,1,Writer various test employee size book water avoid forget partner speech establish color case leave.,0.9342385246732192,2
80,De-engineered foreground circuit,Electronics,Electronics_3,5.72,"Barron, Church and Gutierrez",3.6,2519,1,Property miss drive long majority exactly significant lot begin she represent good structure drug.,0.00036477859965548635,4
81,Stand-alone user-facing database,Home & Kitchen,Home & Kitchen_5,491.64,"Miller, Bonilla and Brown",2.7,490,1,Provide life his maintain future sport seven.,0.9851048738474009,7
82,Profound foreground task-force,Sports,Sports_1,26.73,Erickson-Rios,1.9,4257,0,Black candidate true history laugh per data hundred attention institution rather week officer bill.,0.04294254737055426,8
83,Persistent bi-directional synergy,Beauty,Beauty_4,487.4,Allen Group,1.3,782,1,Environment live most goal brother nearly great deep however.,0.9765123112777383,1
84,Optional multimedia groupware,Toys,Toys_1,297.99,Alexander LLC,1.2,1070,1,Any him up create country computer every parent.,0.592663897051373,9
85,Programmable intermediate benchmark,Sports,Sports_3,426.2,"Williams, Wright and Rodriguez",4.7,3219,1,Apply along entire assume big difficult per respond.,0.8524875873948728,8
86,Object-based hybrid attitude,Beauty,Beauty_4,139.62,Gross Ltd,1.3,1660,1,Manager commercial data PM relationship explain about continue traditional performance school.,0.27171952578782044,1
87,Team-oriented disintermediate concept,Health,Health_1,81.93,Maldonado-Jackson,1.7,3817,1,Tonight center actually listen free concern enough baby quickly table order wide.,0.15480798459823691,6
88,Reduced 24hour matrix,Toys,Toys_1,270.28,Kennedy Inc,4.9,1700,0,Note wrong structure moment cold chair behind.,0.5365082581821866,9
89,Innovative user-facing groupware,Sports,Sports_4,136.18,Henry-Bell,1.5,1291,1,Either main hair add good report through simple tax total other both rate rock again.,0.2647482014388489,8
90,Open-source directional protocol,Health,Health_1,111.44,Howard Inc,4.4,1215,1,Officer receive issue deal become turn help blue event phone.,0.2146114094639781,6
91,Quality-focused local moderator,Home & Kitchen,Home & Kitchen_3,201.14,Baker Ltd,1.2,2448,1,Thousand hospital individual yes finally American mind gas partner item lawyer why.,0.3963927449589624,7
92,Monitored executive budgetary management,Books,Books_1,476.29,Porter Ltd,4.4,4554,1,Letter change whom perhaps professor field explain son administration.,0.9539973654878914,2
93,Balanced didactic forecast,Clothing,Clothing_4,55.44,"Martinez, Freeman and Smith",4.2,994,1,Produce a edge go exist teacher program shoulder choice beat establish you.,0.10112473401560441,3
94,Exclusive intermediate paradigm,Electronics,Electronics_2,69.7,Carter Inc,4.3,3049,1,Usually eat question hit human tough throw turn others community job then source cause.,0.13002330529942244,4
95,Visionary dedicated extranet,Health,Health_5,133.12,Butler and Sons,4.3,178,1,Figure father until leave contain site street benefit money reason mean.,0.25854696524470566,6
96,Synergized transitional help-desk,Home & Kitchen,Home & Kitchen_4,405.6,Gomez-Owens,1.4,2716,1,Leave tree ago short because cell trade skill oil health per tonight there.,0.8107407032120783,7
97,Business-focused web-enabled infrastructure,Electronics,Electronics_4,30.07,Powell Inc,4.7,3548,0,Space themselves least approach area stop practice four best fact loss former article science.,0.049711216941939404,4
98,Synergistic multimedia support,Automotive,Automotive_1,194.45,"Brown, Harris and Thomas",2.7,2899,1,Carry time policy choice pick rest view south perhaps customer attack check they mind.,0.38283514033843347,0
99,Fully-configurable demand-driven benchmark,Books,Books_3,143.53,Johnson-Wagner,4.5,283,1,Argue business identify work star success national start race teacher pay it player.,0.27964332759144794,2
100,Enterprise-wide client-server synergy,Sports,Sports_4,208.94,"Allen, Hunt and Lyons",3.2,499,1,Live face property where manage property hospital recently blue indicate.,0.4121998176107002,8
101,Optimized client-server algorithm,Sports,Sports_4,72.93,Bryant-Elliott,1.8,4307,1,Oil alone practice price know traditional great.,0.13656905461546257,8
102,Devolved maximized success,Grocery,Grocery_1,494.75,Hill-Holden,4.1,2941,0,May technology decision total modern message company charge pretty none least teach.,0.9914074374303373,5
103,Devolved even-keeled toolset,Grocery,Grocery_4,175.3,"Turner, Long and Hendricks",3.3,2634,0,Heavy line probably office until simple moment can food western give pay identify and.,0.3440267504306414,5
104,Upgradable cohesive emulation,Sports,Sports_2,17.9,Ortega Group,3.4,240,1,Food discuss sign true somebody black thing rock himself wind two artist economy also.,0.02504813050967676,8
105,User-friendly asynchronous intranet,Electronics,Electronics_4,267.07,Obrien-Pittman,4.1,1906,1,Fly recognize help writer off current education join experience.,0.5300030398216637,4
106,Exclusive user-facing complexity,Clothing,Clothing_2,330.15,Cervantes-Stokes,2.1,458,1,Beat agency where benefit almost cell accept similar nothing ten.,0.6578376735231533,3
107,Mandatory contextually-based software,Health,Health_4,180.63,"Rosario, Chandler and Rice",4.4,1423,1,Strategy now list goal peace next case attack into heavy.,0.35482825007599555,6
108,Compatible non-volatile artificial intelligence,Home & Kitchen,Home & Kitchen_5,162.41,Patton LLC,4.0,2939,1,Brother discover own former difference wait two edge.,0.3179045495997568,7
109,Triple-buffered heuristic architecture,Beauty,Beauty_5,283.99,Donaldson Inc,3.3,1542,0,Offer table use matter human arm recently book likely true enjoy air full end free.,0.5642922281892796,1
110,Virtual analyzing challenge,Grocery,Grocery_3,91.9,Payne Ltd,1.2,460,1,Under professional there dog authority way toward reflect she along wonder wear.,0.17501266592359915,5
111,Right-sized user-facing pricing structure,Health,Health_2,14.86,Clay Group,2.9,2717,1,Establish among along medical practice it field sure will.,0.018887425271050765,6
112,Ameliorated analyzing algorithm,Books,Books_3,359.88,Ferguson Group,4.7,2650,1,Need appear she receive involve interview case.,0.7180869388995845,2
113,Organic bottom-line pricing structure,Electronics,Electronics_2,295.37,Bell-Cooper,4.7,908,1,Draw begin act including sell space movie animal.,0.5873543418786098,4
114,Advanced uniform encryption,Clothing,Clothing_3,353.75,Jones and Sons,3.6,4800,1,Congress analysis glass pretty each factor paper long business baby economic myself manager.,0.7056642010335393,3
115,User-centric heuristic definition,Beauty,Beauty_3,164.69,Marquez-Pugh,4.9,3578,0,Fall president money environment recently me approach too relationship perform evidence data case wish discover.,0.3225250785287263,1
116,User-centric neutral database,Beauty,Beauty_2,355.06,Watson and Sons,3.2,2923,1,Within recognize practice law box material almost.,0.708318978619921,1
117,Grass-roots optimizing info-mediaries,Health,Health_2,192.3,Wilcox-Miller,3.9,2412,1,Take himself affect him know difference here process mouth produce all.,0.3784780626203263,6
118,Virtual grid-enabled algorithm,Books,Books_1,474.65,"Webster, Rogers and Clayton",4.8,3207,1,Special opportunity serious game stop its into role save arm body.,0.9506738271354747,2
119,Networked uniform service-desk,Books,Books_5,162.52,Garrison-Hurley,4.2,1809,1,Interest rest shoulder employee whether level yeah draw traditional exactly radio ever your side.,0.3181274698551019,2
120,Implemented global orchestration,Automotive,Automotive_2,168.93,Johnson-Hill,1.3,2841,1,Process site special part buy nothing fly enough condition leg key.,0.3311176410983889,0
121,Persistent 5thgeneration help-desk,Books,Books_1,411.72,Little-Hawkins,3.7,2750,0,Around voice everybody particular finish ask conference she everybody than camera piece chair.,0.8231431756003649,2
122,Secured solution-oriented application,Electronics,Electronics_3,108.79,Wilson Inc,3.8,2871,1,Range team oil among response article research else either.,0.209241057857939,4
123,Synergistic heuristic moratorium,Clothing,Clothing_1,28.83,"Williams, Young and Rodriguez",2.8,3437,1,Kitchen memory down for he state indeed politics then central force small friend impact.,0.04719829769986827,3
124,Streamlined holistic leverage,Toys,Toys_4,441.48,Howell-Martin,2.4,3074,1,Fact change option blood deep finish respond.,0.883453237410072,9
125,User-centric multimedia toolset,Automotive,Automotive_5,327.23,"Marquez, Case and Gray",3.7,1332,0,Allow risk high young bad back very different me off nature individual run summer month anything.,0.651920154017631,0
126,Phased stable moderator,Clothing,Clothing_1,150.98,"Alexander, Adams and Huff",2.3,857,1,Treat forget sometimes within discuss fire win realize knowledge whatever improve.,0.2947411085216334,3
127,Configurable heuristic open architecture,Beauty,Beauty_2,444.53,"Jones, Cox and Washington",1.6,614,1,Large industry notice step by Mrs simply imagine once catch.,0.8896342081264565,1
128,Fundamental executive Graphical User Interface,Beauty,Beauty_5,492.71,Wilson-Ortiz,4.6,253,0,Work office plan significant tonight then administration building enjoy never us sea call alone.,0.9872732799675752,1
129,Optional 4thgeneration solution,Books,Books_5,445.43,Fritz and Sons,1.6,829,1,Term truth toward great I news Republican budget today together option pattern yes and school.,0.891458101124734,2
130,Multi-channeled local installation,Home & Kitchen,Home & Kitchen_2,207.59,"Cole, Davenport and Roberts",3.2,4424,1,Record safe rich operation star meeting charge account or purpose law fly computer reveal.,0.409463978113284,7
131,Grass-roots zero administration attitude,Sports,Sports_3,122.59,Evans LLC,1.2,4683,0,Nor today oil such interview follow five.,0.23720741716485966,8
132,Enhanced client-server analyzer,Books,Books_1,183.61,"Khan, Simon and Jordan",2.7,2412,0,Offer past between expect budget event keep those eye truth writer.,0.3608673624480697,2
133,Versatile bi-directional emulation,Home & Kitchen,Home & Kitchen_1,17.74,"Ramirez, Davis and Arnold",1.7,2390,1,Senior agree total whether music sometimes according strategy ago data walk number rule minute store.,0.024723882865538553,7
134,Implemented bifurcated structure,Automotive,Automotive_1,157.63,"Calhoun, Wilson and Oneal",2.6,4006,1,Enjoy ten year rule bring government bad soldier road force medical everybody piece mention.,0.30821765123112776,0
135,Vision-oriented asynchronous strategy,Clothing,Clothing_5,196.83,"Edwards, Middleton and Hamilton",2.5,3124,1,Fish success produce there along play account carry heavy wall pull enter charge sport safe.,0.3876583240449894,3
136,Horizontal clear-thinking customer loyalty,Books,Books_4,27.09,"Liu, Tapia and Vincent",2.8,2157,1,About attack newspaper decade concern industry enjoy herself on point.,0.043672104569865235,2
137,Polarized multi-tasking protocol,Sports,Sports_5,35.51,Humphrey and Sons,4.0,792,1,Property make picture our myself far despite while to shake information.,0.060735636842638566,8
138,Organized fresh-thinking encryption,Beauty,Beauty_5,209.92,"Coleman, Thompson and Huber",4.0,1863,1,Girl huge campaign think style tell over reach.,0.4141858344310467,1
139,Assimilated explicit flexibility,Toys,Toys_5,212.22,"Lewis, Rosales and Ortiz",3.1,3889,1,Sign energy fish hot kind human treatment environmental rock fund stand final important occur coach.,0.41884689431553346,9
140,Expanded zero-defect product,Automotive,Automotive_3,44.08,Gould PLC,4.6,284,1,Form painting after reveal sort bed relate treatment short need pressure million gun cup church movie.,0.07810315128179146,0
141,Universal discrete frame,Clothing,Clothing_4,90.58,Lozano LLC,4.9,1735,1,Democratic safe vote already after wait bill huge machine church feeling discover significant.,0.17233762285945892,3
142,Fully-configurable 5thgeneration flexibility,Books,Books_1,214.57,"Martinez, Bowers and Rios",5.0,3566,1,Stand theory technology baby mean region run after sea.,0.42360928158881345,2
143,Quality-focused real-time collaboration,Books,Books_5,132.65,Fitzgerald Group,4.6,548,1,Story teacher size interesting sea few learn between wide office.,0.2575944877900497,2
144,Multi-tiered explicit interface,Toys,Toys_5,201.69,Walker Group,2.3,2262,0,Everything expect reflect media him year road week several research laugh official agent side language.,0.3975073462356875,9
145,Polarized non-volatile benchmark,Electronics,Electronics_5,295.85,"Collins, Thomas and Soto",4.1,921,0,Believe college ten majority economic center pattern list.,0.5883270848110245,4
146,Up-sized non-volatile task-force,Books,Books_2,285.46,Brown Group,3.3,820,1,In scientist strong already ready out the environmental decide none major.,0.5672712534197993,2
147,Proactive foreground projection,Health,Health_1,393.94,Morris Ltd,4.5,2816,0,Method teach yeah bank bit recognize heart series class security coach join will although.,0.7871111561455061,6
148,Optimized modular concept,Sports,Sports_4,329.12,"Pratt, Freeman and Curry",3.3,3875,1,Industry across brother yet result they even follow threat nor coach face rate sort weight.,0.6557503293140136,8
149,Multi-layered multi-state portal,Books,Books_3,204.47,Kennedy-Clark,3.5,3290,1,Until result system career modern stop act indicate change attack with find.,0.4031411490525889,2
150,Ergonomic dedicated solution,Toys,Toys_3,346.8,Medina LLC,1.2,3892,1,Article light choose go next difficult pick until.,0.6915796939912858,9
151,Grass-roots executive interface,Beauty,Beauty_1,172.24,"Daniel, Richardson and Wang",4.2,2547,1,Night political dark or bill describe condition nor camera mission population.,0.33782551423649815,1
152,Networked full-range orchestration,Automotive,Automotive_1,486.39,"Jacobs, Levy and Mclaughlin",1.9,2461,0,Protect list collection situation writer before sound chair close themselves follow time appear memory keep professor.,0.9744654980241159,0
153,Inverse exuding middleware,Beauty,Beauty_3,365.76,Allen Group,3.4,731,1,Similar relationship great stuff first back painting degree coach plant everyone central.,0.7300030398216638,1
154,Optional next generation intranet,Automotive,Automotive_2,457.15,Neal-King,2.6,3968,1,Newspaper itself give agent hand letter prove rock degree.,0.9152092410578578,0
155,Realigned content-based implementation,Electronics,Electronics_5,396.79,White-Adkins,1.3,4151,0,Cultural guess crime only foreign treat trouble.,0.7928868173067181,4
156,Profit-focused 24/7 portal,Books,Books_5,440.27,Johnson-Hill,1.1,1579,1,Huge yet region ever arm occur air responsibility likely parent lawyer community seek positive.,0.8810011146012767,2
157,Quality-focused bi-directional alliance,Electronics,Electronics_2,21.37,Johnson-Shannon,1.2,2952,1,Relationship computer surface bar street budget kitchen report fire.,0.032080251291924204,4
158,Quality-focused even-keeled core,Sports,Sports_3,412.64,"Mendez, Smith and Hood",3.0,1014,1,Today college worry reveal hand add professor indicate property article cover seven.,0.8250075995541595,8
159,Digitized upward-trending flexibility,Home & Kitchen,Home & Kitchen_3,246.95,Thompson Inc,2.8,3887,1,Part read important play success wait find night brother letter structure.,0.4892288985712838,7
160,Cross-group non-volatile Local Area Network,Beauty,Beauty_2,419.64,Wilson Inc,2.0,740,1,Role control option whole short small design hear ball.,0.8391934339852062,1
161,Up-sized dynamic function,Electronics,Electronics_4,29.58,"May, Valenzuela and Lee",4.4,1755,1,Financial here expert everything north including structure evening current.,0.04871820853176613,4
162,Implemented empowering standardization,Home & Kitchen,Home & Kitchen_2,138.2,Baker-Burns,2.6,164,1,Hair sign mission stop reach color wear one choose notice year its position radio eye garden.,0.2688418279460938,7
163,Profit-focused neutral synergy,Automotive,Automotive_2,325.45,Davis-Ayala,3.4,69,1,Design end two military piece little level follow nor probably top.,0.6483128989765934,0
164,Inverse tangible benchmark,Sports,Sports_5,403.52,"Howard, Santana and Moore",2.2,2255,0,Friend possible beyond tree fill level control against speak lead office itself human street.,0.8065254838382815,8
165,Function-based uniform hub,Toys,Toys_3,232.2,"Morgan, Gregory and Evans",1.9,2475,0,Shake too medical inside similar west husband agreement mention two.,0.4593373188772925,9
166,Right-sized tangible moderator,Health,Health_1,8.64,Lynn PLC,5.0,3065,1,Candidate four whether wife finally she soon learn close.,0.006282298105177832,6
167,Adaptive stable circuit,Sports,Sports_1,243.46,Andrade LLC,2.3,2264,1,Ball door data bed each range suffer hear local general likely.,0.4821562468335191,8
168,Synergized hybrid standardization,Sports,Sports_3,329.78,Durham Ltd,4.8,2447,1,Story relationship several benefit campaign several card significant today star room interesting.,0.6570878508460837,8
169,Object-based national archive,Books,Books_5,383.91,Freeman-Yang,4.6,4915,0,Agree those concern dog gun may ability out huge back discover matter analysis few behavior himself.,0.7667848819535921,2
